Reaction,Answers
HCl + NaOH, NaCl + H2O
H2 + O2, H2O
Zn + HCl, ZnCl2 + H2
2Na + Cl2, 2NaCl
CH4 + O2, CO2 + H2O
C + O2, CO2
Mg + O2, MgO
Fe + CuSO4, FeSO4 + Cu
CaCO3, CaO + CO2
K + H2O, KOH + H2
NaHCO3 + HCl, NaCl + CO2 + H2O
CuO + H2, Cu + H2O
CaO + H2O, Ca(OH)2
Mg + HCl, MgCl2 + H2
Al + HCl, AlCl3 + H2
Fe + O2, Fe2O3
Zn + CuSO4, ZnSO4 + Cu
Pb(NO3)2 + KI, PbI2 + KNO3
AgNO3 + NaCl, AgCl + NaNO3
BaCl2 + H2SO4, BaSO4 + 2HCl
Na2CO3 + HCl, NaCl + CO2 + H2O
FeCl3 + NaOH, Fe(OH)3 + NaCl
CuSO4 + NaOH, Cu(OH)2 + Na2SO4
ZnSO4 + NaOH, Zn(OH)2 + Na2SO4
AlCl3 + NaOH, Al(OH)3 + NaCl
NH4Cl + NaOH, NH3 + NaCl + H2O
CH3COOH + NaOH, CH3COONa + H2O
HCl + NH3, NH4Cl
H2SO4 + NaOH, Na2SO4 + 2H2O
HNO3 + NaOH, NaNO3 + H2O
H3PO4 + NaOH, Na3PO4 + 3H2O
H2CO3, H2O + CO2
H2S, H2 + S
SO2 + H2O, H2SO3
NO2 + H2O, HNO2 + HNO3
Cl2 + H2O, HCl + HClO
Br2 + H2O, HBr + HBrO
I2 + H2O, HI + HIO
C2H5OH + O2, CO2 + H2O
CH3COOH + C2H5OH, CH3COOC2H5 + H2O
C6H12O6 + O2, CO2 + H2O
C2H4 + Br2, C2H4Br2
C2H2 + Br2, C2H2Br2
C6H6 + Br2, C6H5Br + HBr
C6H6 + HNO3 (H2SO4 catalyst), C6H5NO2 + H2O
CH3COOH + NaHCO3, CH3COONa + CO2 + H2O
C2H5OH + Na, C2H5ONa + H2
CH3COOH + Na, CH3COONa + H2
C6H5OH + NaOH, C6H5ONa + H2O
CH3CHO + HCN, CH3CH(OH)CN
CH3COCl + NH3, CH3CONH2 + HCl
CH3COOCH3 + NaOH, CH3COONa + CH3OH
C6H5COOH + NaOH, C6H5COONa + H2O
C6H5NH2 + HCl, C6H5NH3Cl
CH3CH2Cl + NaOH, CH3CH2OH + NaCl
CH3CH2Br + NaOH, CH3CH2OH + NaBr
CH3CH2I + NaOH, CH3CH2OH + NaI
CH3CH2OH + H2SO4 (heat), CH2=CH2 + H2O
CH3CH2OH + KMnO4, CH3COOH + MnO2 + KOH
C6H5CH3 + HNO3 (H2SO4 catalyst), C6H4(NO2)CH3 + H2O
C6H5CH3 + Br2 (FeBr3 catalyst), C6H4BrCH3 + HBr
CH3COCH3 + HCN, CH3CH(OH)CN
CH3CH2CH2OH + KMnO4, CH3CH2COOH + MnO2 + KOH
C6H5CH2OH + KMnO4, C6H5COOH + MnO2 + KOH
CH3CH2CH2Cl + NaOH, CH3CH2CH2OH + NaCl
CH3CH2CH2Br + NaOH, CH3CH2CH2OH + NaBr
CH3CH2CH2I + NaOH, CH3CH2CH2OH + NaI
